metric,week_id,year,count,week,class,se,holt,arima,tbats
Demo,Week 43,2020,108,43,test,139.33376295392816,142.25458944697914,142.8941281750087,130.29226442274057
Demo,Week 44,2020,98,44,test,139.33376295392816,144.5273351705723,145.2031413354912,129.4714283298378
Demo,Week 45,2020,110,45,test,139.33376295392816,146.8000808941654,147.51215449597376,128.7244438944494
Demo,Week 46,2020,120,46,test,139.33376295392816,149.07282661775852,149.82116765645628,128.04466658989725
Demo,Week 47,2020,76,47,test,139.33376295392816,151.34557234135167,152.1301808169388,127.42604970594051
Demo,Week 48,2020,NA,48,test,139.33376295392816,153.6183180649448,154.43919397742133,126.86309056247738
Demo,Week 49,2020,NA,49,test,139.33376295392816,155.8910637885379,156.74820713790385,126.3507815624681
Demo,Week 50,2020,NA,50,test,139.33376295392816,158.16380951213105,159.0572202983864,125.88456564868801
Demo,Week 51,2020,NA,51,test,139.33376295392816,160.43655523572417,161.36623345886892,125.46029576809278
Demo,Week 52,2020,NA,52,test,139.33376295392816,162.70930095931732,163.67524661935144,125.07419798322566
Demo,Week 53,2020,NA,53,test,139.33376295392816,164.98204668291044,165.98425977983396,124.72283790253798
Chat,Week 43,2020,125,43,test,135.9114360921756,137.0725644033248,144.58666458526332,136.56934892685956
Chat,Week 44,2020,139,44,test,135.9114360921756,137.75062157617202,133.94794891952597,136.64331982710044
Chat,Week 45,2020,97,45,test,135.9114360921756,138.4286787490192,137.13217601733965,136.70963165343804
Chat,Week 46,2020,126,46,test,135.9114360921756,139.10673592186643,134.05250182456433,136.76907743952293
Chat,Week 47,2020,99,47,test,135.9114360921756,139.78479309471362,134.3681456198137,136.82236810694116
Chat,Week 48,2020,NA,48,test,135.9114360921756,140.4628502675608,133.30389380817712,136.87014096723817
Chat,Week 49,2020,NA,49,test,135.9114360921756,141.14090744040803,133.11886354640419,136.91296734362874
Chat,Week 50,2020,NA,50,test,135.9114360921756,141.81896461325522,132.66726146903792,136.95135940354191
Chat,Week 51,2020,NA,51,test,135.9114360921756,142.49702178610244,132.4692011095333,136.98577628371257
Chat,Week 52,2020,NA,52,test,135.9114360921756,143.17507895894963,132.2434971067007,137.0166295810704
Chat,Week 53,2020,NA,53,test,135.9114360921756,143.85313613179682,132.10493782725155,137.04428827509292
Signup,Week 43,2020,219,43,test,236.30889889139996,227.8481719446785,236.3095238095336,239.89601867573978
Signup,Week 44,2020,237,44,test,236.30889889139996,227.47249862975636,236.3095238095336,239.89601867573978
Signup,Week 45,2020,223,45,test,236.30889889139996,227.09682531483418,236.3095238095336,239.89601867573978
Signup,Week 46,2020,226,46,test,236.30889889139996,226.72115199991202,236.3095238095336,239.89601867573978
Signup,Week 47,2020,166,47,test,236.30889889139996,226.34547868498984,236.3095238095336,239.89601867573978
Signup,Week 48,2020,NA,48,test,236.30889889139996,225.9698053700677,236.3095238095336,239.89601867573978
Signup,Week 49,2020,NA,49,test,236.30889889139996,225.5941320551455,236.3095238095336,239.89601867573978
Signup,Week 50,2020,NA,50,test,236.30889889139996,225.21845874022335,236.3095238095336,239.89601867573978
Signup,Week 51,2020,NA,51,test,236.30889889139996,224.84278542530117,236.3095238095336,239.89601867573978
Signup,Week 52,2020,NA,52,test,236.30889889139996,224.46711211037902,236.3095238095336,239.89601867573978
Signup,Week 53,2020,NA,53,test,236.30889889139996,224.09143879545684,236.3095238095336,239.89601867573978
Overall,Week 43,2020,452,43,test,510.08854386545806,513.9184209764264,543.5641718705594,500.17084787976614
