metric,week_id,year,count,week,class
Demo,Week 1,2020,19,1,train
Chat,Week 1,2020,72,1,train
Signup,Week 1,2020,132,1,train
Overall,Week 1,2020,223,1,train
Direct,Week 1,2020,45,1,train
Organic,Week 1,2020,56,1,train
Paid,Week 1,2020,87,1,train
APAC,Week 1,2020,36,1,train
European Union,Week 1,2020,41,1,train
North America,Week 1,2020,108,1,train
Demo,Week 2,2020,70,2,train
Chat,Week 2,2020,118,2,train
Signup,Week 2,2020,279,2,train
Overall,Week 2,2020,473,2,train
Direct,Week 2,2020,85,2,train
Organic,Week 2,2020,143,2,train
Paid,Week 2,2020,175,2,train
APAC,Week 2,2020,98,2,train
European Union,Week 2,2020,138,2,train
North America,Week 2,2020,190,2,train
Demo,Week 3,2020,63,3,train
Chat,Week 3,2020,117,3,train
Signup,Week 3,2020,242,3,train
Overall,Week 3,2020,424,3,train
Direct,Week 3,2020,82,3,train
Organic,Week 3,2020,132,3,train
Paid,Week 3,2020,147,3,train
APAC,Week 3,2020,84,3,train
European Union,Week 3,2020,134,3,train
North America,Week 3,2020,164,3,train
Demo,Week 4,2020,66,4,train
Chat,Week 4,2020,143,4,train
Signup,Week 4,2020,257,4,train
Overall,Week 4,2020,467,4,train
Direct,Week 4,2020,91,4,train
Organic,Week 4,2020,145,4,train
Paid,Week 4,2020,151,4,train
APAC,Week 4,2020,87,4,train
European Union,Week 4,2020,125,4,train
North America,Week 4,2020,199,4,train
Demo,Week 5,2020,62,5,train
Chat,Week 5,2020,111,5,train
Signup,Week 5,2020,267,5,train
Overall,Week 5,2020,444,5,train
Direct,Week 5,2020,95,5,train
Organic,Week 5,2020,131,5,train
Paid,Week 5,2020,154,5,train
APAC,Week 5,2020,102,5,train
European Union,Week 5,2020,131,5,train
North America,Week 5,2020,168,5,train
Demo,Week 6,2020,95,6,train
Chat,Week 6,2020,139,6,train
Signup,Week 6,2020,276,6,train
Overall,Week 6,2020,515,6,train
Direct,Week 6,2020,98,6,train
Organic,Week 6,2020,180,6,train
Paid,Week 6,2020,175,6,train
APAC,Week 6,2020,108,6,train
European Union,Week 6,2020,142,6,train
North America,Week 6,2020,203,6,train
Demo,Week 7,2020,81,7,train
Chat,Week 7,2020,155,7,train
Signup,Week 7,2020,263,7,train
Overall,Week 7,2020,502,7,train
Direct,Week 7,2020,99,7,train
Organic,Week 7,2020,152,7,train
Paid,Week 7,2020,177,7,train
APAC,Week 7,2020,100,7,train
European Union,Week 7,2020,137,7,train
North America,Week 7,2020,208,7,train
Demo,Week 8,2020,88,8,train
Chat,Week 8,2020,120,8,train
Signup,Week 8,2020,281,8,train
Overall,Week 8,2020,490,8,train
Direct,Week 8,2020,94,8,train
Organic,Week 8,2020,164,8,train
Paid,Week 8,2020,167,8,train
APAC,Week 8,2020,101,8,train
European Union,Week 8,2020,128,8,train
North America,Week 8,2020,201,8,train
Demo,Week 9,2020,98,9,train
Chat,Week 9,2020,109,9,train
Signup,Week 9,2020,241,9,train
Overall,Week 9,2020,458,9,train
Direct,Week 9,2020,101,9,train
Organic,Week 9,2020,117,9,train
Paid,Week 9,2020,170,9,train
APAC,Week 9,2020,88,9,train
European Union,Week 9,2020,123,9,train
North America,Week 9,2020,197,9,train
Demo,Week 10,2020,92,10,train
Chat,Week 10,2020,120,10,train
Signup,Week 10,2020,222,10,train
Overall,Week 10,2020,437,10,train
Direct,Week 10,2020,78,10,train
Organic,Week 10,2020,165,10,train
Paid,Week 10,2020,139,10,train
APAC,Week 10,2020,92,10,train
European Union,Week 10,2020,121,10,train
North America,Week 10,2020,183,10,train
Demo,Week 11,2020,71,11,train
Chat,Week 11,2020,130,11,train
Signup,Week 11,2020,208,11,train
Overall,Week 11,2020,410,11,train
Direct,Week 11,2020,72,11,train
Organic,Week 11,2020,131,11,train
Paid,Week 11,2020,153,11,train
APAC,Week 11,2020,78,11,train
European Union,Week 11,2020,116,11,train
North America,Week 11,2020,170,11,train
Demo,Week 12,2020,69,12,train
Chat,Week 12,2020,123,12,train
Signup,Week 12,2020,201,12,train
Overall,Week 12,2020,394,12,train
Direct,Week 12,2020,84,12,train
Organic,Week 12,2020,129,12,train
Paid,Week 12,2020,125,12,train
APAC,Week 12,2020,92,12,train
European Union,Week 12,2020,113,12,train
North America,Week 12,2020,155,12,train
Demo,Week 13,2020,84,13,train
Chat,Week 13,2020,123,13,train
Signup,Week 13,2020,220,13,train
Overall,Week 13,2020,429,13,train
Direct,Week 13,2020,86,13,train
Organic,Week 13,2020,136,13,train
Paid,Week 13,2020,156,13,train
APAC,Week 13,2020,89,13,train
European Union,Week 13,2020,111,13,train
North America,Week 13,2020,183,13,train
Demo,Week 14,2020,130,14,train
Chat,Week 14,2020,177,14,train
Signup,Week 14,2020,240,14,train
Overall,Week 14,2020,547,14,train
Direct,Week 14,2020,106,14,train
Organic,Week 14,2020,183,14,train
Paid,Week 14,2020,200,14,train
APAC,Week 14,2020,105,14,train
European Union,Week 14,2020,151,14,train
North America,Week 14,2020,214,14,train
Demo,Week 15,2020,109,15,train
Chat,Week 15,2020,154,15,train
Signup,Week 15,2020,278,15,train
Overall,Week 15,2020,543,15,train
Direct,Week 15,2020,110,15,train
Organic,Week 15,2020,162,15,train
Paid,Week 15,2020,207,15,train
APAC,Week 15,2020,101,15,train
European Union,Week 15,2020,145,15,train
North America,Week 15,2020,235,15,train
Demo,Week 16,2020,124,16,train
Chat,Week 16,2020,168,16,train
Signup,Week 16,2020,276,16,train
Overall,Week 16,2020,573,16,train
Direct,Week 16,2020,108,16,train
Organic,Week 16,2020,170,16,train
Paid,Week 16,2020,232,16,train
APAC,Week 16,2020,116,16,train
European Union,Week 16,2020,155,16,train
North America,Week 16,2020,233,16,train
Demo,Week 17,2020,142,17,train
Chat,Week 17,2020,152,17,train
Signup,Week 17,2020,257,17,train
Overall,Week 17,2020,551,17,train
Direct,Week 17,2020,102,17,train
Organic,Week 17,2020,183,17,train
Paid,Week 17,2020,199,17,train
APAC,Week 17,2020,124,17,train
European Union,Week 17,2020,171,17,train
North America,Week 17,2020,206,17,train
Demo,Week 18,2020,136,18,train
Chat,Week 18,2020,176,18,train
Signup,Week 18,2020,226,18,train
Overall,Week 18,2020,538,18,train
Direct,Week 18,2020,98,18,train
Organic,Week 18,2020,172,18,train
Paid,Week 18,2020,209,18,train
APAC,Week 18,2020,104,18,train
European Union,Week 18,2020,131,18,train
North America,Week 18,2020,235,18,train
Demo,Week 19,2020,96,19,train
Chat,Week 19,2020,153,19,train
Signup,Week 19,2020,267,19,train
Overall,Week 19,2020,518,19,train
Direct,Week 19,2020,96,19,train
Organic,Week 19,2020,172,19,train
Paid,Week 19,2020,183,19,train
APAC,Week 19,2020,104,19,train
European Union,Week 19,2020,139,19,train
North America,Week 19,2020,205,19,train
Demo,Week 20,2020,114,20,train
Chat,Week 20,2020,164,20,train
Signup,Week 20,2020,259,20,train
Overall,Week 20,2020,539,20,train
Direct,Week 20,2020,93,20,train
Organic,Week 20,2020,180,20,train
Paid,Week 20,2020,198,20,train
APAC,Week 20,2020,116,20,train
European Union,Week 20,2020,136,20,train
North America,Week 20,2020,214,20,train
Demo,Week 21,2020,112,21,train
Chat,Week 21,2020,148,21,train
Signup,Week 21,2020,235,21,train
Overall,Week 21,2020,495,21,train
